iter	Passed	Remaining
0	0	76
1	1	76
2	2	70
3	2	63
4	3	61
5	3	60
6	4	58
7	5	57
8	5	56
9	6	55
10	6	56
11	7	55
12	8	54
13	8	53
14	9	52
15	9	52
16	10	51
17	11	50
18	11	49
19	12	49
20	12	48
21	13	47
22	14	47
23	14	46
24	15	45
25	15	44
26	16	44
27	17	44
28	17	43
29	18	42
30	18	42
31	19	41
32	20	40
33	20	40
34	21	39
35	21	38
36	22	38
37	23	37
38	23	37
39	24	36
40	24	35
41	25	34
42	25	34
43	26	33
44	26	32
45	27	32
46	27	31
47	28	30
48	29	30
49	30	30
50	30	29
51	31	29
52	32	28
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	35	24
59	36	24
60	36	23
61	37	23
62	38	22
63	38	21
64	39	21
65	39	20
66	40	19
67	41	19
68	41	18
69	42	18
70	42	17
71	43	16
72	44	16
73	44	15
74	45	15
75	45	14
76	46	13
77	47	13
78	47	12
79	48	12
80	48	11
81	49	10
82	49	10
83	50	9
84	51	9
85	51	8
86	52	7
87	52	7
88	53	6
89	54	6
90	54	5
91	55	4
92	55	4
93	56	3
94	56	2
95	57	2
96	58	1
97	58	1
98	59	0
99	59	0
